TIMESTAMP,TEMPERATURE_temp1[degC],WINDSPEED_wspd1[m/s],WINDDIR_wdir1[deg],INSOLATION_irrad1[kW/m2],INSOLATION_irrad2[kW/m2],door1,door2,doorx1,doorx2,doorx3,doorx4,doorx5,doorx6,doorx7
129000,12.3,2.6,160,-0.004,0,0,0,1,1,1,1,0,1,1
130000,12.3,2.6,154,-0.004,0,0,0,1,1,1,1,0,1,1
131000,12.3,2.6,154,-0.004,0,0,0,1,1,1,1,0,1,1
131999,12.3,2.5,151,-0.004,0,0,0,1,1,1,1,0,1,1
133000,12.3,2.5,152,-0.004,0,0,0,1,1,1,1,0,1,1
133999,12.3,2.5,152,-0.004,0,0,0,1,1,1,1,0,1,1
135000,12.3,2.5,153,-0.004,0,0,0,1,1,1,1,0,1,1
136000,12.3,2.7,154,-0.004,0,0,0,1,1,1,1,0,1,1
136999,12.3,2.6,156,-0.004,0,0,0,1,1,1,1,0,1,1
137999,12.3,2.8,157,-0.004,0,0,0,1,1,1,1,0,1,1
139000,12.3,2.6,153,-0.004,0,0,0,1,1,1,1,0,1,1
140000,12.3,2.7,150,-0.004,0,0,0,1,1,1,1,0,1,1
141000,12.3,2.7,154,-0.004,0,0,0,1,1,1,1,0,1,1
142000,12.3,2.8,154,-0.004,0,0,0,1,1,1,1,0,1,1
143000,12.3,2.6,155,-0.004,0,0,0,1,1,1,1,0,1,1
143999,12.3,2.3,156,-0.004,0,0,0,1,1,1,1,0,1,0
145000,12.3,2.4,153,-0.004,0,0,0,1,1,1,1,0,1,0
146001,12.3,2.4,154,-0.004,0,0,0,1,1,1,1,0,1,0
147000,12.3,2.6,153,-0.004,0,0,0,1,1,1,1,0,1,0
148000,12.3,2.7,165,-0.004,0,0,0,1,1,1,1,0,1,0
149000,12.3,3,160,-0.004,0,0,0,1,1,1,1,0,1,0
149999,12.3,2.9,153,-0.004,0,0,0,1,1,1,1,0,1,0
150999,12.3,2.9,150,-0.004,0,0,0,1,1,1,1,0,1,0
152000,12.3,2.8,150,-0.004,0,0,0,1,1,1,1,0,1,0
152999,12.3,2.8,161,-0.004,0,0,0,1,1,1,1,0,1,0
154000,12.3,2.7,158,-0.004,0,0,0,1,1,1,1,0,1,0
155000,12.3,2.7,155,-0.004,0,0,0,1,1,1,1,0,1,0
156000,12.3,2.9,155,-0.004,0,0,0,1,1,1,1,0,1,0
156999,12.3,3,150,-0.004,0,0,0,1,1,1,1,0,1,0
157999,12.3,3.2,149,-0.004,0,0,0,1,1,1,1,0,1,0
159000,12.3,3.2,150,-0.004,0,0,0,1,1,1,1,0,1,0
160000,12.3,3.1,150,-0.004,-0.002,0,0,1,1,1,1,0,1,0
161000,12.3,3,151,-0.004,0,0,0,1,1,1,1,0,1,0
162000,12.3,2.8,151,-0.004,0,0,0,1,1,1,1,0,1,0
162999,12.3,2.9,152,-0.004,0,0,0,1,1,1,1,0,1,0
164000,12.3,3,159,-0.004,0,0,0,1,1,1,1,0,1,0
165000,12.3,2.6,153,-0.004,0,0,0,1,1,1,1,0,1,0
165999,12.3,2.4,150,-0.004,0,0,0,1,1,1,1,0,1,0
167000,12.3,2.3,149,-0.004,0,0,0,1,1,1,1,0,1,0
168000,12.3,2.3,149,-0.004,-0.002,0,0,1,1,1,1,0,1,0
169000,12.3,2.5,150,-0.004,0,0,0,1,1,1,1,0,1,0
169999,12.3,2.7,150,-0.004,0,0,0,1,1,1,1,0,1,0
170999,12.3,2.6,149,-0.004,0,0,0,1,1,1,1,0,1,0
172000,12.3,2.6,156,-0.004,0,0,0,1,1,1,1,0,1,0
173000,12.3,2.8,157,-0.004,0,0,0,1,1,1,1,0,1,0
173999,12.3,2.7,157,-0.004,0,0,0,1,1,1,1,0,1,0
175000,12.3,2.5,154,-0.004,0,0,0,1,1,1,1,0,1,0
176000,12.3,2.6,159,-0.004,0,0,0,1,1,1,1,0,1,0
177000,12.3,2.8,152,-0.004,0,0,0,1,1,1,1,0,1,0
178000,12.3,2.8,164,-0.004,0,0,0,1,1,1,1,0,1,0
178999,12.3,2.9,169,-0.004,0,0,0,1,1,1,1,0,1,0
180000,12.3,2.9,160,-0.004,0,0,0,1,1,1,1,0,0,1
181000,12.3,2.8,156,-0.004,0,0,0,1,1,1,1,0,0,1
181999,12.3,2.7,147,-0.004,0,0,0,1,1,1,1,0,0,1
182999,12.3,2.5,147,-0.004,0,0,0,1,1,1,1,0,0,1
184000,12.3,2.4,147,-0.004,0,0,0,1,1,1,1,0,0,1
184999,12.3,2.5,151,-0.004,0,0,0,1,1,1,1,0,0,1
186000,12.3,2.8,153,-0.004,0,0,0,1,1,1,1,0,0,1
186999,12.3,3,152,-0.004,0,0,0,1,1,1,1,0,0,1
188000,12.3,2.9,153,-0.004,0,0,0,1,1,1,1,0,0,1
189000,12.3,2.9,157,-0.004,0,0,0,1,1,1,1,0,0,1
190001,12.3,3.2,162,-0.004,0,0,0,1,1,1,1,0,0,1
191000,12.3,3.2,163,-0.004,0,0,0,1,1,1,1,0,0,1
192000,12.3,3.2,163,-0.004,0,0,0,1,1,1,1,0,0,1
193000,12.3,3.1,163,-0.004,0,0,0,1,1,1,1,0,0,1
193999,12.4,3,165,-0.004,0,0,0,1,1,1,1,0,0,1
195000,12.3,2.8,159,-0.004,0,0,0,1,1,1,1,0,0,1
196000,12.3,2.7,155,-0.004,-0.002,0,0,1,1,1,1,0,0,1
196999,12.3,2.7,156,-0.004,0,0,0,1,1,1,1,0,0,1
198000,12.3,2.7,156,-0.004,0,0,0,1,1,1,1,0,0,1
199000,12.3,2.6,157,-0.004,0,0,0,1,1,1,1,0,0,1
200000,12.3,2.7,161,-0.004,0,0,0,1,1,1,1,0,0,1
200999,12.3,2.6,161,-0.004,0,0,0,1,1,1,1,0,0,1
202000,12.3,2.7,160,-0.004,0,0,0,1,1,1,1,0,0,1
202999,12.3,2.6,159,-0.004,0,0,0,1,1,1,1,0,0,1
203999,12.3,2.6,162,-0.004,0,0,0,1,1,1,1,0,0,1
205000,12.3,2.8,162,-0.004,0,0,0,1,1,1,1,0,0,1
205999,12.3,3.1,164,-0.004,0,0,0,1,1,1,1,0,0,1
207000,12.3,3.1,164,-0.004,-0.002,0,0,1,1,1,1,0,0,1
208000,12.3,2.9,163,-0.004,-0.002,0,0,1,1,1,1,0,0,1
208999,12.4,2.7,159,-0.004,0,0,0,1,1,1,1,0,0,1
210000,12.3,2.6,158,-0.004,0,0,0,1,1,1,1,0,0,1
211000,12.4,2.7,158,-0.004,0,0,0,1,1,1,1,0,0,1
211999,12.4,2.7,157,-0.004,0,0,0,1,1,1,1,0,0,1
213000,12.4,2.6,157,-0.004,0,0,0,1,1,1,1,0,0,1
213999,12.4,2.5,157,-0.004,0,0,0,1,1,1,1,0,0,1
215000,12.3,2.5,158,-0.004,0,0,0,1,1,1,1,0,0,1
216000,12.3,2.3,153,-0.004,0,0,0,1,1,1,1,0,0,0
217000,12.3,2.3,161,-0.004,0,0,0,1,1,1,1,0,0,0
218001,12.3,2.1,160,-0.004,0,0,0,1,1,1,1,0,0,0
219000,12.3,2,160,-0.004,0,0,0,1,1,1,1,0,0,0
220000,12.3,2,159,-0.004,0,0,0,1,1,1,1,0,0,0
221000,12.3,2.3,156,-0.004,0,0,0,1,1,1,1,0,0,0
221999,12.3,2.5,150,-0.004,0,0,0,1,1,1,1,0,0,0
223000,12.4,2.6,150,-0.004,0,0,0,1,1,1,1,0,0,0
